timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-25T00:00:00.000Z";"2025-02-25T23:59:59.999Z";"2025-02-25T23:07:00.000Z";"2025-02-25T11:29:00.000Z";"2781";0.682211613;0.6930383811;0.6338113081;0.6825819991;1317817122.53;24032194105.5;"2025-02-25T23:59:59.999Z"
"2025-02-24T00:00:00.000Z";"2025-02-24T23:59:59.999Z";"2025-02-24T00:23:00.000Z";"2025-02-24T23:40:00.000Z";"2781";0.7700399762;0.7755885207;0.6806672684;0.6822023527;960897544.61;24019020088.39;"2025-02-24T23:59:59.999Z"
"2025-02-23T00:00:00.000Z";"2025-02-23T23:59:59.999Z";"2025-02-23T08:01:00.000Z";"2025-02-23T15:56:00.000Z";"2781";0.7744513749;0.786996916;0.7614658749;0.7700406474;495111533.72;27111244233.1;"2025-02-23T23:59:59.999Z"
"2025-02-22T00:00:00.000Z";"2025-02-22T23:59:59.999Z";"2025-02-22T18:49:00.000Z";"2025-02-22T00:16:00.000Z";"2781";0.7613713932;0.7826604527;0.7585912612;0.7744515885;530696925.68;27264395414.9;"2025-02-22T23:59:59.999Z"
"2025-02-21T00:00:00.000Z";"2025-02-21T23:59:59.999Z";"2025-02-21T13:59:00.000Z";"2025-02-21T21:46:00.000Z";"2781";0.8044642271;0.8169403986;0.7521177589;0.7613713932;951661846.96;26803917448.41;"2025-02-21T23:59:59.999Z"
"2025-02-20T00:00:00.000Z";"2025-02-20T23:59:59.999Z";"2025-02-20T20:07:00.000Z";"2025-02-20T00:34:00.000Z";"2781";0.7729404677;0.8104296103;0.7717174748;0.8044744079;688006862.4;28320991473.66;"2025-02-20T23:59:59.999Z"
"2025-02-19T00:00:00.000Z";"2025-02-19T23:59:59.999Z";"2025-02-19T11:59:00.000Z";"2025-02-19T05:01:00.000Z";"2781";0.7523648602;0.7747197355;0.7372485465;0.7729427885;706077594.47;27211204247.71;"2025-02-19T23:59:59.999Z"
"2025-02-18T00:00:00.000Z";"2025-02-18T23:59:59.999Z";"2025-02-18T04:13:00.000Z";"2025-02-18T17:35:00.000Z";"2781";0.8081074191;0.8125379205;0.7381847681;0.7523626911;905917139.12;26485464526.33;"2025-02-18T23:59:59.999Z"
"2025-02-17T00:00:00.000Z";"2025-02-17T23:59:59.999Z";"2025-02-17T15:28:00.000Z";"2025-02-17T00:01:00.000Z";"2781";0.7720013232;0.8269171038;0.771863495;0.8080253327;1041802036.06;28446367816.34;"2025-02-17T23:59:59.999Z"
"2025-02-16T00:00:00.000Z";"2025-02-16T23:59:59.999Z";"2025-02-16T05:54:00.000Z";"2025-02-16T14:22:00.000Z";"2781";0.7811109769;0.7868024184;0.7647409845;0.7720048048;448477193.52;27175367979.8;"2025-02-16T23:59:59.999Z"
"2025-02-15T00:00:00.000Z";"2025-02-15T23:59:59.999Z";"2025-02-15T03:04:00.000Z";"2025-02-15T20:52:00.000Z";"2781";0.8005137104;0.8129386866;0.7772004858;0.7811102658;493874835.3;27496038664.74;"2025-02-15T23:59:59.999Z"
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T18:08:00.000Z";"2025-02-14T22:58:00.000Z";"2781";0.8107100265;0.82707938;0.7931402496;0.8005070159;787635174.82;28179137651.01;"2025-02-14T23:59:59.999Z"
"2025-02-13T00:00:00.000Z";"2025-02-13T23:59:59.999Z";"2025-02-13T22:22:00.000Z";"2025-02-13T06:50:00.000Z";"2781";0.7992361322;0.8269017546;0.7720166945;0.8107422231;840300501.38;28537960536.39;"2025-02-13T23:59:59.999Z"
"2025-02-12T00:00:00.000Z";"2025-02-12T23:59:59.999Z";"2025-02-12T22:43:00.000Z";"2025-02-12T13:43:00.000Z";"2781";0.7793950457;0.805074387;0.7528032963;0.799223529;1231175669.3;28130876254.14;"2025-02-12T23:59:59.999Z"
